404 ::1 POST /call-logs/generate 4.872 [Thu, 13 Oct 2022 12:46:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 6.075 [Thu, 13 Oct 2022 13:10:34 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 3.448 [Thu, 13 Oct 2022 13:10:57 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 8.034 [Thu, 13 Oct 2022 13:11:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 6.117 [Thu, 13 Oct 2022 13:11:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 11.858 [Thu, 13 Oct 2022 14:56:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 7.443 [Thu, 13 Oct 2022 14:56:16 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 7.601 [Thu, 13 Oct 2022 14:56:18 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /imei-check 6.054 [Thu, 13 Oct 2022 14:56:19 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /imei-check 5.733 [Thu, 13 Oct 2022 14:57:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 5.802 [Thu, 13 Oct 2022 14:57:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /imei-check 6.026 [Thu, 13 Oct 2022 14:57:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 9.601 [Thu, 13 Oct 2022 14:57:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /OldImei-check 9.749 [Thu, 13 Oct 2022 14:57:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 6.416 [Thu, 13 Oct 2022 14:57:36 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 4.655 [Thu, 13 Oct 2022 14:58:14 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 5.033 [Thu, 13 Oct 2022 14:58:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 6.660 [Thu, 13 Oct 2022 14:58:21 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /imei-check 4.533 [Thu, 13 Oct 2022 14:58:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 6.097 [Thu, 13 Oct 2022 14:58:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 7.264 [Thu, 13 Oct 2022 14:58:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 5.332 [Thu, 13 Oct 2022 14:58:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /OldImei-check 5.645 [Thu, 13 Oct 2022 14:58:34 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
