caacc281-7aa3-4d76-94a1-7320d819a45d 304 ::1 GET /imei-check 7.017 [Tue, 19 Oct 2021 10:45:38 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
9e5748df-cd67-4974-9ff0-eccb36f46f49 200 ::1 GET /OldImei-check 24.624 [Tue, 19 Oct 2021 10:47:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
286d67d3-7e8e-4297-9fad-a4264b7a0aec 304 ::1 GET /OldImei-check 130.724 [Tue, 19 Oct 2021 11:50:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
2d35f3a3-254d-4c21-aa36-3de947757eb1 304 ::1 GET /call-logs 37.558 [Tue, 19 Oct 2021 11:50:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
da33bf47-55bd-43ea-9397-f7016cae6329 304 ::1 GET /oldCall-logs 27.994 [Tue, 19 Oct 2021 11:51:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
de222b2a-54f4-4211-a1d4-48bb09732028 304 ::1 GET /OldImei-check 27.838 [Tue, 19 Oct 2021 11:51:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
d10d18b9-116c-40b5-8e88-e7477f620b42 304 ::1 GET /call-logs 24.092 [Tue, 19 Oct 2021 11:51:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
4d5b3861-3bd5-4e66-970c-957ab361778d 304 ::1 GET /oldCall-logs 19.309 [Tue, 19 Oct 2021 11:52:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
98ccac37-c7c6-44a3-a235-f6cd712e6846 200 ::1 POST /oldCall-logs 5840.269 [Tue, 19 Oct 2021 11:52:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
b9ee5352-6dd0-40ea-954b-14491eb44910 200 ::1 POST /oldCall-logs 33527.145 [Tue, 19 Oct 2021 11:54:02 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
