304 ::ffff:172.25.160.27 GET / 18.041 [Tue, 29 Nov 2022 16:55:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET / 15.928 [Tue, 29 Nov 2022 16:55:53 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 18.537 [Tue, 29 Nov 2022 16:57:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 18.490 [Tue, 29 Nov 2022 16:58:48 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 17.129 [Tue, 29 Nov 2022 16:59:56 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 141.401 [Tue, 29 Nov 2022 17:00:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /call-logs 14.406 [Tue, 29 Nov 2022 17:00:16 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 GET /logout 9.195 [Tue, 29 Nov 2022 17:00:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 12.793 [Tue, 29 Nov 2022 17:00:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 16.329 [Tue, 29 Nov 2022 17:00:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 13.760 [Tue, 29 Nov 2022 17:00:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 18.191 [Tue, 29 Nov 2022 17:03:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 20.863 [Tue, 29 Nov 2022 17:03:58 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 15.162 [Tue, 29 Nov 2022 17:04:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 11.380 [Tue, 29 Nov 2022 17:04:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /imei-check 15.946 [Tue, 29 Nov 2022 17:13:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /call-logs 16.012 [Tue, 29 Nov 2022 17:13:48 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 18.139 [Tue, 29 Nov 2022 17:15:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 16.808 [Tue, 29 Nov 2022 17:16:02 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 17.119 [Tue, 29 Nov 2022 17:18:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
